Ime,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Adam,-,12,8,7,-,-,11,9,13,10,9,13,7,7,12,21,22,17,23,25,36,36,51,29
Adel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,10,10,-,-,-,6,-,6,5
Adem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7
Adian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,9,14,10
Adin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,7,10,14,10,13,13,20
Adis,-,-,6,-,-,-,-,5,-,5,-,5,-,-,-,7,7,-,-,-,-,-,-,-
Adnan,7,-,8,8,8,-,-,5,7,-,6,-,6,6,-,6,-,8,12,12,-,-,7,-
Adrian,-,-,-,-,-,-,10,5,11,-,7,9,13,9,10,7,18,9,15,18,24,25,22,17
Adriano,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-
Adrijan,-,-,-,-,-,-,10,14,-,8,-,5,-,-,7,7,-,6,-,7,-,7,6,7
Ahmed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,5
Aid,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,8,-
Ajan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,8,6,7
Ajdin,-,-,-,-,-,-,6,-,-,-,6,5,5,-,11,9,12,11,17,13,19,11,10,10
Ajnur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,8,-,-
Alan,11,-,10,11,7,-,6,6,8,13,6,9,9,6,9,-,8,10,9,6,15,6,16,9
Albert,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-
Aldin,-,-,-,-,-,-,-,-,7,5,-,11,-,9,-,7,5,8,-,6,-,5,9,11
Aleks,22,25,22,21,30,26,29,25,47,54,46,39,51,56,46,56,62,68,81,80,82,101,73,72
Aleksa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,6,-,-,-,6
Aleksandar,16,20,16,12,12,12,8,19,15,11,13,6,7,8,9,12,9,15,17,11,14,17,23,13
Aleksander,60,51,55,49,40,40,29,39,43,42,26,29,39,49,37,29,50,36,51,32,44,48,47,52
Aleksej,-,-,-,6,-,-,-,-,-,5,5,8,8,13,14,18,21,27,43,40,44,41,45,57
Alem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,7,-,-,-
Alen,145,112,118,96,100,118,95,110,108,129,115,97,83,66,77,72,53,55,53,55,35,35,49,31
Ale�,145,114,111,100,84,76,54,38,46,40,25,24,22,17,12,13,10,15,10,9,15,7,10,-
Alex,7,7,6,21,21,11,13,18,21,26,20,28,28,38,43,46,50,46,41,46,48,43,49,36
Alexander,-,8,-,-,-,-,-,5,-,-,-,-,-,-,-,-,10,6,5,5,5,7,13,5
Ali,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,9,12,9,7,14,10,16,15,12
Alja�,143,142,175,158,173,170,210,191,211,187,206,183,209,181,171,186,182,207,158,151,167,144,108,100
Aljo�a,44,35,41,29,30,33,27,26,27,25,31,22,20,25,22,11,13,14,18,13,17,17,16,12
Almin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,6,-,-,-,-,-
Almir,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,-,-,-,-,-
Amadej,10,6,14,25,22,13,29,35,21,26,22,20,25,16,29,32,26,32,36,16,24,21,21,13
Amar,-,-,-,-,-,-,-,6,-,7,8,12,7,10,-,13,13,10,21,19,20,20,26,19
Ambro�,-,7,12,9,14,-,9,13,7,13,10,17,12,15,11,11,8,9,11,17,12,17,14,9
Amel,-,-,-,-,-,-,-,-,-,-,-,-,5,-,5,6,-,-,-,-,-,-,-,-
Amin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,5,-
Amir,-,-,-,-,7,7,-,-,5,-,5,-,8,-,-,-,5,5,-,-,-,-,-,-
Ammar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,6,5,-,6,-,9,5
An,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-
Andra�,98,97,75,80,111,127,120,121,116,109,101,84,72,67,85,75,62,68,72,62,52,63,43,52
Andreas,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Andrej,130,122,119,106,86,79,64,59,64,42,33,52,34,35,34,35,25,40,27,31,35,39,30,28
Anej,17,19,10,18,11,16,25,23,39,39,48,76,94,119,124,153,127,109,137,126,114,106,100,77
Anel,-,-,-,-,-,-,-,6,5,-,7,-,7,6,6,8,7,14,12,6,13,10,9,9
Anes,-,-,-,-,-,-,-,7,-,-,5,6,-,10,8,9,7,7,5,11,5,-,-,5
Anis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,6,5,7,5,5,5,8,-,-
Anton,17,13,11,17,8,13,8,5,11,10,9,-,-,-,-,6,-,-,-,-,5,-,-,-
Antonio,-,-,-,-,-,-,-,10,-,-,6,-,5,9,-,-,-,-,-,-,-,-,5,7
Anuar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
An�e,149,134,136,135,161,168,151,151,119,142,131,138,140,136,148,191,176,183,170,189,191,162,197,164
An�ej,-,-,6,-,-,-,-,-,-,-,-,-,8,18,8,8,-,7,-,-,-,-,-,-
Arian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,9,-,5,10,5,9,10
Armin,14,10,13,17,13,-,-,9,9,10,6,9,-,5,6,8,-,8,5,5,5,5,12,7
Arne,-,-,-,-,-,-,-,5,-,8,5,6,7,10,18,11,8,22,21,19,10,13,20,18
Arnes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-
Aron,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,8,-,7,-,9
A�be,-,-,-,-,-,-,-,-,6,-,6,-,12,13,44,46,39,45,42,29,24,25,26,36
Bastian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-
Belmin,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ben,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-
Benjamin,47,58,48,63,52,80,68,66,69,64,52,50,57,48,62,38,63,56,75,54,54,66,46,51
Beno,-,-,-,-,-,-,-,5,-,6,-,-,6,6,-,6,6,-,-,-,-,-,-,-
Bernard,-,-,-,8,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
Bert,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,6
Bine,7,-,7,-,-,8,9,10,5,11,7,9,9,14,22,20,18,20,34,26,32,44,62,62
Bla�,239,271,242,263,204,205,187,189,187,160,157,136,111,111,126,101,93,112,89,93,90,79,68,47
